# start,end,mode,format,years,months,weeks,days,print,printWzeros
2000-04-17,2003-03-16,128,%Y,2,0,0,0,2 years,2 years
2000-04-17,2003-03-16,64,%M,0,34,0,0,34 months,34 months
2000-04-17,2003-03-16,32,%W,0,0,151,0,151 weeks,151 weeks
2000-04-17,2003-03-16,16,%D,0,0,0,1063,1063 days,1063 days
2000-04-17,2003-03-16,192,%Y %M,2,10,0,0,2 years 10 months,2 years 10 months
2000-04-17,2003-03-16,160,%Y %W,2,0,47,0,2 years 47 weeks,2 years 47 weeks
2000-04-17,2003-03-16,144,%Y %D,2,0,0,333,2 years 333 days,2 years 333 days
2000-04-17,2003-03-16,96,%M %W,0,34,3,0,34 months 3 weeks,34 months 3 weeks
2000-04-17,2003-03-16,80,%M %D,0,34,0,27,34 months 27 days,34 months 27 days
2000-04-17,2003-03-16,48,%W %D,0,0,151,6,151 weeks 6 days,151 weeks 6 days
2000-04-17,2003-03-16,224,%Y %M %W,2,10,3,0,2 years 10 months 3 weeks,2 years 10 months 3 weeks
2000-04-17,2003-03-16,208,%Y %M %D,2,10,0,27,2 years 10 months 27 days,2 years 10 months 27 days
2000-04-17,2003-03-16,176,%Y %W %D,2,0,47,4,2 years 47 weeks 4 days,2 years 47 weeks 4 days
2000-04-17,2003-03-16,112,%M %W %D,0,34,3,6,34 months 3 weeks 6 days,34 months 3 weeks 6 days
2000-04-17,2003-03-16,240,%Y %M %W %D,2,10,3,6,2 years 10 months 3 weeks 6 days,2 years 10 months 3 weeks 6 days
2000-04-17,2003-04-17,128,%Y,3,0,0,0,3 years,3 years
2000-04-17,2003-04-17,64,%M,0,36,0,0,36 months,36 months
2000-04-17,2003-04-17,32,%W,0,0,156,0,156 weeks,156 weeks
2000-04-17,2003-04-17,16,%D,0,0,0,1095,1095 days,1095 days
2000-04-17,2003-04-17,192,%Y %M,3,0,0,0,3 years,3 years 0 months
2000-04-17,2003-04-17,160,%Y %W,3,0,0,0,3 years,3 years 0 weeks
2000-04-17,2003-04-17,144,%Y %D,3,0,0,0,3 years,3 years 0 days
2000-04-17,2003-04-17,96,%M %W,0,36,0,0,36 months,36 months 0 weeks
2000-04-17,2003-04-17,80,%M %D,0,36,0,0,36 months,36 months 0 days
2000-04-17,2003-04-17,48,%W %D,0,0,156,3,156 weeks 3 days,156 weeks 3 days
2000-04-17,2003-04-17,224,%Y %M %W,3,0,0,0,3 years,3 years 0 months 0 weeks
2000-04-17,2003-04-17,208,%Y %M %D,3,0,0,0,3 years,3 years 0 months 0 days
2000-04-17,2003-04-17,176,%Y %W %D,3,0,0,0,3 years,3 years 0 weeks 0 days
2000-04-17,2003-04-17,112,%M %W %D,0,36,0,0,36 months,36 months 0 weeks 0 days
2000-04-17,2003-04-17,240,%Y %M %W %D,3,0,0,0,3 years,3 years 0 months 0 weeks 0 days
2000-01-01,2010-04-14,144,%Y %D,10,0,0,103,10 years 103 days,10 years 103 days
# custom unit names
2000-04-17,2003-03-16,128,%y anos,2,0,0,0,2 anos,2 anos
2000-04-17,2003-03-16,64,%m meses,0,34,0,0,34 meses,34 meses
2000-04-17,2003-03-16,32,%w semanas,0,0,151,0,151 semanas,151 semanas
2000-04-17,2003-03-16,16,%d dias,0,0,0,1063,1063 dias,1063 dias
2000-04-17,2003-03-16,192,%y anos %m meses,2,10,0,0,2 anos 10 meses,2 anos 10 meses
2000-04-17,2003-03-16,160,%y anos %w semanas,2,0,47,0,2 anos 47 semanas,2 anos 47 semanas
2000-04-17,2003-03-16,144,%y anos %d dias,2,0,0,333,2 anos 333 dias,2 anos 333 dias
2000-04-17,2003-03-16,96,%m meses %w semanas,0,34,3,0,34 meses 3 semanas,34 meses 3 semanas
2000-04-17,2003-03-16,80,%m meses %d dias,0,34,0,27,34 meses 27 dias,34 meses 27 dias
